,bengali,TAP index,Dine-in,Beverages,Desserts,kannada,telugu,hindi,speed,gujarati,tindex,25_35,marathi,assamese,gender ratio,MAP index,volume,70_100,Fast Food,tamil,sindhi,marwari,18_25,Bakery,oriya,Cafe,urdu,50_70,35_50,punjabi,population,malayalam,store_id,store-name
0,18277,0.137600082,316,36,123,363,3881,8053,8.655646943,1627,0.58748121,8297,488,281,1.113606014,95.60402685,772,3972,131,1517,240,1439,3388,74,3537,38,358,13528,13309,2881,42735,504,1,"TJ CCSL HANGOUTHANGOUT FOOD COURT, CITY CENTER, SALT LAKE,KOLKATA - 700064."
1,103743,0.200680484,462,62,118,1823,16601,40761,6.139044925,7244,1.79180966,60678,1790,732,1.48933313,403.5718433,1670,19821,227,15195,1169,4008,28964,54,15019,54,55611,78871,88535,17109,278061,2750,2,TJ LINDSAY3A HUMAYUN PALACE ( CITY MART ) KOLKATA -700087
2,16734,0.119650433,323,37,127,228,2712,5277,8.605313653,1070,0.590917443,6731,386,270,1.049011333,74.5372807,772,3090,133,1192,162,836,2876,79,3304,38,308,10414,10667,1715,33989,382,3,"TJ CCSL MAINSHOP NO-B-005, CITY CENTER, SALT LAKE, KOLKATA - 700064"
3,0,0.26725246,118,13,26,0,0,0,5.303534202,0,0.481884065,0,0,0,0,0,388,0,34,0,0,0,0,16,0,5,0,0,0,0,0,0,4,"TJ MEDICA, MEDICA SUPERSPECIALTY HOSPITAL , 127 MUKUND PUR . E.M BYPASS, KOLKATA - 700099"
4,63621,0.139759776,444,44,120,858,8603,14428,4.54679479,3139,0.653352267,22504,1177,807,0.999676204,186.252381,451,13698,186,3898,510,1895,9336,74,12354,83,1523,38246,32883,5619,117339,1305,5,"TJ SOUTH CITYSPENCER HYPER,SOUTH CITY MALL,375 PRINCE ANWAR SAHA ROAD,KOLKATA -700068."
5,0,0.20069992,156,23,27,0,0,0,2.518202663,0,0.810862524,0,0,0,0,0,310,0,64,0,0,0,0,13,0,18,0,0,0,0,0,0,6,"TJ RDB,RDB BULEVERD, SEC-V, BLOCK-EP & GP, PLOT NO-01, KOLKATA -700091"
6,0,0.160693983,260,23,89,0,0,0,7.390359226,0,0.565066971,0,0,0,0,0,634,0,130,0,0,0,0,64,0,16,0,0,0,0,0,0,7,"TJ DCN MALL, DIAMOND CITY NORTH MALL, 68 JESSORE ROAD , SHOP NO FR 5&6 , 4TH FLOOR, PREMISES NO – 1, KOLKATA – 700 055"
7,144312,0.239842503,607,85,193,1990,20615,54203,6.489450246,11401,1.569198183,85102,2126,870,1.266630378,421.9743875,1546,26015,291,21723,1526,5023,38048,94,17238,91,80406,103281,124668,20696,378933,3825,8,"TJ BNWCC, BNWCC HOSPITAL ,2 RAWDAN STREET,KOLKATA-700017"
8,120598,0.215073734,629,86,181,1865,18122,47725,6.065639109,10384,1.553958014,71726,1905,740,1.336239327,351.1254054,1431,23213,296,18480,1406,4638,33037,85,14484,91,68274,89818,105501,19220,324791,3400,9,"TJ PARK PLAZA, PARK-PLAZA, 71.PARK ST, KOLKATA-700016. NEAR PARK ST. POST OFFICE"
9,24951,0.206168805,315,36,124,493,5061,10447,8.445584448,2210,0.600533488,11386,640,372,1.12864418,129.6224719,770,4912,130,1930,301,1732,5040,72,5514,38,402,17610,18384,3886,57682,663,10,"TJ CCNT MAIN, SHOP NO-04, PRIME AREA, PLOT NO-11/D/5, ACTION AREA-2, DTL NO-11, NEW TOWN, RAJAR HAT, KOLKATA-700157"
10,0,0.155610155,43,8,2,0,0,0,8.09820339,0,0.095977524,0,0,0,0,0,118,0,21,0,0,0,0,4,0,6,0,0,0,0,0,0,11,"TJ BAMBOO GARDEN, ECOSPACE BUSINESS PARK, PLOT NO – II/F/11, ACTION AREA II, OPP – 1B BUILDING, RAJARHAT NEW TOWN, KOLKATA – 700 156"
11,157522,0.233461141,592,56,179,2568,25233,41223,5.422452872,13534,0.918337298,59568,3380,1843,1.060558956,389.4888889,756,33635,218,10532,1562,5651,26549,98,33827,105,2307,100234,93455,19548,315486,3491,12,"TJ PRIYA CINEMA, 95 RASH BEHARI AVENUE , GROUND FLOOR, PRIYA CINEMA, KOLKATA – 700 029"
12,0,0.271638409,109,10,39,0,0,0,5.251177686,0,0.365016494,0,0,0,0,0,291,0,48,0,0,0,0,21,0,7,0,0,0,0,0,0,13,"TJ NETAJI METRO, GANGA PURI, KOLKATA, MONDAL PARA, PURBA PUTIARY, KOLKATA 700093"
13,240376,0.108086441,147,11,52,2702,33224,72578,6.863414855,11446,1.500012719,114548,3645,2303,1.234819956,251.0557604,1563,39560,70,25174,1789,6118,50368,30,51788,10,70746,159586,178064,28238,544791,4995,14,"TJ SEALDAH BIGBAZAR, 1 BELIAGHATA ROAD, WARD NO -36, SEALDAH, KOLKATA – 700 014"
14,0,0.202072599,36,3,5,0,0,0,10.91241905,0,0.09416289,0,0,0,0,0,156,0,14,0,0,0,0,3,0,4,0,0,0,0,0,0,15,"TJ STAR MALL, STAR MALL , 74/MALL/1 - JESSORE RD, OPPOSITE SISHIR KUNJA SBI, WARD NO : 5, KOLKATA 700129"
15,0,0.187713535,31,1,7,0,0,0,7.479805794,0,0.293244669,0,0,0,0,0,333,0,6,0,0,0,0,6,0,2,0,0,0,0,0,0,16,"TJ AIRPORT DEPARTURE, DOMESTIC AIRPORT DEPARTURE LOUNGE, FOOD COURT AREA, NSCBIA, KOLKATA 700052"
16,39063,0.134041384,251,24,88,331,4563,7761,8.311710985,1550,0.622093176,14317,557,501,1.058676654,202.6703911,785,5902,107,2748,199,758,6394,58,7469,20,4637,22197,23249,3138,72556,631,17,"TJ JAYA CINEMA, 225, LAKE TOWN, BLOCK - A, KOLKATA – 700089"
17,128681,0.332186133,609,86,200,2017,19141,49412,6.215372794,13439,1.538776864,76300,2188,746,1.265794705,382.4611111,1452,24488,291,18971,1489,5039,35146,92,15556,94,69561,94493,112101,21243,344215,3472,39,"TJ SATURDAY CLUB, 7 WOOD STREET, NEAR PARK STREET, KOLKATA 700016"
18,0,0.226575436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,"TJ CCSG MAIN, CITY CENTER – SILIGURI, UTTRAYAN TOWNSHIP, SHOP NO – E , 302 MATIGARA , SILIGURI – 734010"
19,0,0.113886248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,"TJ NEOTIA HEALTH CARE, CITY CENTER ( SILIGURI ) NEOTIA GETWELL , UTTRAYAN TOWNSHIP,MATIGARA , SILIGURI – 734010"
20,87469,0.103314097,254,34,93,1029,12632,23081,10.01362649,4832,0.423614379,33018,1563,1197,1.060281441,477.3518006,644,14552,107,5199,666,3097,13543,50,23307,37,1147,53537,56769,8618,172324,1689,21,"TJ MANISQUARE SPENCER, SPENCER HYPER, MANI SQR.MALL, 164/1 MANIKTALA MAIN ROAD, KOLKATA - 700054."
21,0,0.139510396,156,16,39,0,0,0,4.797661647,0,0.934961461,0,0,0,0,0,681,0,68,0,0,0,0,25,0,10,0,0,0,0,0,0,22,"TJ NEW TOWN SPENCERS, NEW TOWN SQAURE , BESIDE NEW TOWN CITY CENTER 2, CHINAR PARK , NEW TOWN , RAJARHAT , KOLKATA – 700157"
22,41020,0.21371715,216,22,74,653,5875,10344,4.796302164,2247,0.685283419,15459,764,533,1.024055681,256.2090032,499,8538,95,2636,356,1403,6723,49,8495,25,1481,25012,23458,4626,79681,926,23,"TJ TOLLY METRO, MAHANAYAK UTTAM KUMAR METRO, ENTRANCE GATE , D. S. ROAD, KOLKATA – 700 033"
